dataset_name,block_size,total_area,total_margin,total_overlap,size_std,block_util,total_blocks,x1,y1,x2,y2
large_aws/Combo_001.csv,33554432.0,135.7930838275864,221.09184919604957,5703.3095207586275,0.0,0.989025400316014,85,0.00492517986188773,-0.4659998848982504,0.9991333745663254,1.1408724991743662
large_aws/Combo_002.csv,33554432.0,112.20363819284592,188.80918102379485,4207.636432231722,0.0,0.9969097697421124,76,-0.4999998603778587,-0.14108367966055066,1.0002585743062329,0.8429892149158159
large_aws/Combo_003.csv,33554432.0,162.26800663718876,239.81059711907162,6409.586262168957,0.0,0.9887678254395724,80,-0.9659999246013204,0.3146688849040176,0.9998280998825588,1.3464733244085338
large_aws/Combo_004.csv,33554432.0,162.59729032013234,256.92497110990746,7967.267225686485,0.0,0.9997716579172348,99,-0.4999998603778587,-0.09270209688941694,1.0009999488203802,1.0014998222952478
large_aws/Combo_005.csv,33554432.0,117.25272843457134,167.78751698124722,3165.8236677334257,0.0,0.9920122948559849,55,-0.9659999246013204,2.022645851917915e-07,1.0006999160240926,1.0839824885709402
large_aws/Combo_006.csv,33554432.0,147.83061855191352,255.7515497259332,7908.9380925273745,0.0,0.999447793872268,108,5.25965139219764e-08,-0.26599999675828223,1.0019999947761369,1.100069965931847
large_aws/Combo_007.csv,33554432.0,44.18040953469232,88.18039194926645,949.878804995885,0.0,0.9865202307701112,44,1.3152462008392264e-08,7.164140380933047e-08,1.00009993291103,1.0039999689116192
large_aws/Combo_008.csv,33554432.0,58.57149650337843,105.5709186145619,1347.1444195777035,0.0,0.9870716644094344,47,2.2354560869075613e-08,-0.24611996367022715,1.0000499757002368,1.0000198407407337
large_aws/Combo_009.csv,33554432.0,58.7631946556357,101.76162018766212,1234.0270877683495,0.0,0.9928186577419902,43,1.3152462008392264e-08,-0.18299958342486772,1.00009993291103,1.1834498035063807
large_aws/Combo_010.csv,33554432.0,173.6556005689502,269.8088308095048,8248.641027025134,0.0,0.9979510782286524,96,0.0017926549236680356,-0.4659998848982504,0.9998280998825588,1.3464733244085338
large_aws/Combo_011.csv,33554432.0,155.34058467833339,229.54745780466928,6446.634264150836,0.0,0.9961015333731971,84,-0.4999998603778587,-0.09270209688941694,0.9991333745663254,1.1408724991743662
large_aws/Combo_012.csv,33554432.0,142.11900913554751,188.28815536120356,4121.451264930877,0.0,0.9973725913944892,59,-0.9659999246013204,-0.14108367966055066,1.0002585743062329,1.0839824885709402
large_aws/Combo_013.csv,33554432.0,155.92763472280902,246.50333494785718,7328.598831972025,0.0,0.9933326454539048,95,-0.4999998603778587,-0.09270209688941694,1.0019999947761369,1.000069994776137
large_aws/Combo_014.csv,33554432.0,174.83985934231984,250.18055321662925,7081.014303363952,0.0,0.9978024654272126,82,-0.9659999246013204,5.692284421598969e-09,1.0009999488203802,1.0839824885709402
large_aws/Combo_015.csv,33554432.0,117.5642271687172,203.5421970014512,4996.479654670481,0.0,0.9925523244364316,86,1.4613920816790998e-07,-0.26599999675828223,1.0006999160240926,1.100069965931847
large_aws/Combo_016.csv,33554432.0,47.16685287383732,94.16684465666935,1084.8376160982584,0.0,0.9913408743574263,47,2.2354560869075613e-08,5.064526564790839e-08,1.0000499757002368,1.0034999836117031
