dataset1,dataset2,bnlj_result_size,bnlj_mbr_tests,bnlj_split_count,bnlj_duration,pbsm_result_size,pbsm_mbr_tests,pbsm_split_count,pbsm_duration,dj_result_size,dj_mbr_tests,dj_split_count,dj_duration,repj_result_size,repj_mbr_tests,repj_split_count,repj_duration,1st time,2nd time,3rd time,4th time
large_aws/Combo_001.csv,medium/diagonal_001.csv,64378921,33071719749,78,15.733295457,64378846,345962304,30102,27.400812735,62219305,7757233175,166,30.546546471,62806365,2486049079,78,29.605351166,bnlj,pbsm,repj,dj
large_aws/Combo_002.csv,medium/diagonal_001.csv,52854837,29822330205,78,13.905817666,52854769,289635883,30102,23.224402936,50516366,4821078097,160,25.240174509,51384228,2200411748,78,17.062771031,bnlj,repj,pbsm,dj
large_aws/Combo_003.csv,medium/diagonal_001.csv,64222833,28073897999,78,12.792209613,64222769,314414264,30102,20.314619785,61273680,6765061086,154,24.536954011,62794055,2169888992,78,20.727162377,bnlj,pbsm,repj,dj
large_aws/Combo_004.csv,medium/diagonal_001.csv,55879011,30082886955,78,16.494978411,55878942,300164447,30102,21.577532236,52747692,5947201409,167,27.10044099,54130243,2119576000,78,27.617906772,bnlj,pbsm,dj,repj
large_aws/Combo_005.csv,medium/diagonal_001.csv,31190429,18349453473,78,9.932816983,31190381,177042578,29928,18.648360867,30260262,4610687318,131,18.888139889,30556075,1417999569,78,23.85810072,bnlj,pbsm,dj,repj
large_aws/Combo_006.csv,medium/diagonal_001.csv,28217143,14511414746,78,9.513533626,28217101,143524665,29928,20.386035713,27252046,4439736343,138,17.848204284,27556848,1053983546,78,18.342742706,bnlj,dj,repj,pbsm
large_aws/Combo_007.csv,medium/diagonal_001.csv,41368522,22086585442,78,12.438448906,41368474,227190753,30102,19.568814512,38108471,4659869304,131,19.248133546,40414794,1721672365,78,14.977896336,bnlj,repj,dj,pbsm
large_aws/Combo_001.csv,medium/diagonal_002.csv,40989158,21379204429,78,11.666186819,40989114,219229717,30102,19.210504169,38345112,6700400081,152,63.885843158,39856179,1588470750,78,23.007232148,bnlj,pbsm,repj,dj
large_aws/Combo_002.csv,medium/diagonal_002.csv,21231686,12756873342,78,9.232377182,21231655,121186065,29928,18.808641073,20555414,3262250313,123,47.176846877,20692804,988158524,78,19.050408019,bnlj,pbsm,repj,dj
large_aws/Combo_003.csv,medium/diagonal_002.csv,53558305,24002571523,78,11.794978908,53558260,268084840,30102,23.694991908,51699175,5642247926,141,20.875989202,52384398,1815546990,78,26.264897491,bnlj,dj,pbsm,repj
large_aws/Combo_004.csv,medium/diagonal_002.csv,53185707,20732173766,78,13.146422947,53185653,297510780,30096,21.005983417,51461320,5649580917,142,55.471361566,51865556,1946558839,78,25.735433945,bnlj,pbsm,repj,dj
large_aws/Combo_005.csv,medium/diagonal_002.csv,88036642,33071734920,78,17.437140587,88036535,487010097,30096,20.207147608,84606082,8783237544,173,23.772245771,85698386,3097938701,78,28.78071881,bnlj,pbsm,dj,repj
