dataset1,dataset2,bnlj_result_size,bnlj_mbr_tests,bnlj_duration,pbsm_result_size,pbsm_mbr_tests,pbsm_duration,dj_result_size,dj_mbr_tests,dj_duration,repjj_result_size,repjj_mbr_tests,repjj_mbr_tests_join,repjj_mbr_tests_dj,repjj_duration,1st,2nd,3rd,4th
A1,B1,,,,,,,,,,,,,,,pbsm,,,
A2,B2,,,,,,,,,,,,,,,pbsm,,,
A3,B3,,,,,,,,,,,,,,,pbsm,,,
A4,B4,,,,,,,,,,,,,,,pbsm,,,
A5,B5,,,,,,,,,,,,,,,bnlj,,,
A6,B6,,,,,,,,,,,,,,,bnlj,,,
A7,B7,,,,,,,,,,,,,,,repj,,,
A8,B8,,,,,,,,,,,,,,,bnlj,,,
A9,B9,,,,,,,,,,,,,,,repj,,,
A10,B10,,,,,,,,,,,,,,,repj,,,
A11,B11,,,,,,,,,,,,,,,pbsm,,,
A12,B12,,,,,,,,,,,,,,,pbsm,,,
A13,B13,,,,,,,,,,,,,,,pbsm,,,
A14,B14,,,,,,,,,,,,,,,pbsm,,,
A15,B15,,,,,,,,,,,,,,,pbsm,,,
A16,B16,,,,,,,,,,,,,,,pbsm,,,
A17,B17,,,,,,,,,,,,,,,pbsm,,,
A18,B18,,,,,,,,,,,,,,,repj,,,
A19,B19,,,,,,,,,,,,,,,repj,,,
A20,B20,,,,,,,,,,,,,,,repj,,,
A21,B21,,,,,,,,,,,,,,,pbsm,,,
A22,B22,,,,,,,,,,,,,,,pbsm,,,
A23,B23,,,,,,,,,,,,,,,pbsm,,,
A24,B24,,,,,,,,,,,,,,,pbsm,,,
A25,B25,,,,,,,,,,,,,,,pbsm,,,
A26,B26,,,,,,,,,,,,,,,pbsm,,,
A27,B27,,,,,,,,,,,,,,,pbsm,,,
A28,B28,,,,,,,,,,,,,,,repj,,,
A29,B29,,,,,,,,,,,,,,,repj,,,
A30,B30,,,,,,,,,,,,,,,repj,,,
A31,B31,,,,,,,,,,,,,,,pbsm,,,
A32,B32,,,,,,,,,,,,,,,pbsm,,,
A33,B33,,,,,,,,,,,,,,,pbsm,,,
A34,B34,,,,,,,,,,,,,,,pbsm,,,
A35,B35,,,,,,,,,,,,,,,pbsm,,,
A36,B36,,,,,,,,,,,,,,,pbsm,,,
A37,B37,,,,,,,,,,,,,,,pbsm,,,
A38,B38,,,,,,,,,,,,,,,repj,,,
A39,B39,,,,,,,,,,,,,,,repj,,,
A40,B40,,,,,,,,,,,,,,,repj,,,
A41,B41,,,,,,,,,,,,,,,pbsm,,,
A42,B42,,,,,,,,,,,,,,,pbsm,,,
A43,B43,,,,,,,,,,,,,,,pbsm,,,
A44,B44,,,,,,,,,,,,,,,pbsm,,,
A45,B45,,,,,,,,,,,,,,,pbsm,,,
A46,B46,,,,,,,,,,,,,,,pbsm,,,
A47,B47,,,,,,,,,,,,,,,pbsm,,,
A48,B48,,,,,,,,,,,,,,,repj,,,
A49,B49,,,,,,,,,,,,,,,repj,,,
A50,B50,,,,,,,,,,,,,,,repj,,,
A51,B51,,,,,,,,,,,,,,,pbsm,,,
A52,B52,,,,,,,,,,,,,,,pbsm,,,
A53,B53,,,,,,,,,,,,,,,pbsm,,,
A54,B54,,,,,,,,,,,,,,,pbsm,,,
A55,B55,,,,,,,,,,,,,,,pbsm,,,
A56,B56,,,,,,,,,,,,,,,pbsm,,,
A57,B57,,,,,,,,,,,,,,,pbsm,,,
A58,B58,,,,,,,,,,,,,,,pbsm,,,
A59,B59,,,,,,,,,,,,,,,pbsm,,,
A60,B60,,,,,,,,,,,,,,,pbsm,,,
A61,B61,,,,,,,,,,,,,,,repj,,,
A62,B62,,,,,,,,,,,,,,,pbsm,,,
A63,B63,,,,,,,,,,,,,,,pbsm,,,
A64,B64,,,,,,,,,,,,,,,pbsm,,,
A65,B65,,,,,,,,,,,,,,,pbsm,,,
A66,B66,,,,,,,,,,,,,,,pbsm,,,
A67,B67,,,,,,,,,,,,,,,pbsm,,,
A68,B68,,,,,,,,,,,,,,,pbsm,,,
A69,B69,,,,,,,,,,,,,,,repj,,,
A70,B70,,,,,,,,,,,,,,,repj,,,
A71,B71,,,,,,,,,,,,,,,repj,,,
A72,B72,,,,,,,,,,,,,,,pbsm,,,
A73,B73,,,,,,,,,,,,,,,,,,
A74,B74,,,,,,,,,,,,,,,,,,
A75,B75,,,,,,,,,,,,,,,,,,
A76,B76,,,,,,,,,,,,,,,,,,
A77,B77,,,,,,,,,,,,,,,,,,
A78,B78,,,,,,,,,,,,,,,,,,
A79,B79,,,,,,,,,,,,,,,,,,
A80,B80,,,,,,,,,,,,,,,,,,
A81,B81,,,,,,,,,,,,,,,,,,
A82,B82,,,,,,,,,,,,,,,,,,
A83,B83,,,,,,,,,,,,,,,,,,
A84,B84,,,,,,,,,,,,,,,,,,
A85,B85,,,,,,,,,,,,,,,,,,
A86,B86,,,,,,,,,,,,,,,,,,
A87,B87,,,,,,,,,,,,,,,,,,
A88,B88,,,,,,,,,,,,,,,,,,
A89,B89,,,,,,,,,,,,,,,,,,
A90,B90,,,,,,,,,,,,,,,,,,
A91,B91,,,,,,,,,,,,,,,pbsm,,,
A92,B92,,,,,,,,,,,,,,,pbsm,,,
A93,B93,,,,,,,,,,,,,,,pbsm,,,
A94,B94,,,,,,,,,,,,,,,pbsm,,,
A95,B95,,,,,,,,,,,,,,,bnlj,,,
A96,B96,,,,,,,,,,,,,,,bnlj,,,
A97,B97,,,,,,,,,,,,,,,repj,,,
A98,B98,,,,,,,,,,,,,,,repj,,,
A99,B99,,,,,,,,,,,,,,,repj,,,
A100,B100,,,,,,,,,,,,,,,repj,,,
A101,B101,,,,,,,,,,,,,,,pbsm,,,
A102,B102,,,,,,,,,,,,,,,pbsm,,,
A103,B103,,,,,,,,,,,,,,,pbsm,,,
A104,B104,,,,,,,,,,,,,,,pbsm,,,
A105,B105,,,,,,,,,,,,,,,bnlj,,,
A106,B106,,,,,,,,,,,,,,,repj,,,
A107,B107,,,,,,,,,,,,,,,repj,,,
A108,B108,,,,,,,,,,,,,,,repj,,,
A109,B109,,,,,,,,,,,,,,,repj,,,
A110,B110,,,,,,,,,,,,,,,repj,,,
A111,B111,,,,,,,,,,,,,,,pbsm,,,
A112,B112,,,,,,,,,,,,,,,pbsm,,,
A113,B113,,,,,,,,,,,,,,,pbsm,,,
A114,B114,,,,,,,,,,,,,,,pbsm,,,
A115,B115,,,,,,,,,,,,,,,pbsm,,,
A116,B116,,,,,,,,,,,,,,,pbsm,,,
A117,B117,,,,,,,,,,,,,,,repj,,,
