dataset_name, cardinality, AVG area, AVG x, AVG y,E0,E2
medium/diagonal_001.csv,273048,2.56E-06,0.00188,0.00136,1.86,1.721
medium/diagonal_002.csv,298887,1.77E-06,0.00142,0.00125,1.861,1.682
medium/diagonal_003.csv,258042,3.00E-06,0.00166,0.00181,1.815,1.695
medium/diagonal_004.csv,288018,1.88E-06,0.00142,0.00133,1.853,1.777
medium/diagonal_005.csv,157740,1.98E-06,0.00184,0.00107,1.79,1.523
medium/diagonal_006.csv,149277,1.93E-06,0.00133,0.00145,1.798,1.557
medium/diagonal_007.csv,191290,2.32E-06,0.00183,0.00127,1.815,1.575
medium/diagonal_008.csv,204925,2.05E-06,0.0015,0.00137,1.797,1.559
medium/diagonal_009.csv,114043,1.81E-06,0.00177,0.00102,1.745,1.514
medium/diagonal_010.csv,201765,3.09E-06,0.00183,0.00169,1.847,1.738
medium/gaussian_001.csv,113566,1.63E-06,0.00159,0.00102,1.727,1.809
medium/gaussian_002.csv,186772,1.64E-06,0.0015,0.00109,1.759,1.825
medium/gaussian_003.csv,186644,1.46E-06,0.00114,0.00127,1.74,1.841
medium/gaussian_004.csv,190513,3.55E-06,0.00178,0.00199,1.768,1.836
medium/gaussian_005.csv,262264,2.32E-06,0.00165,0.0014,1.776,1.852
medium/gaussian_006.csv,277204,1.51E-06,0.00125,0.00121,1.766,1.833
medium/gaussian_007.csv,236709,3.16E-06,0.00194,0.00162,1.788,1.848
medium/gaussian_008.csv,289888,3.15E-06,0.00193,0.00163,1.789,1.846
medium/gaussian_009.csv,163175,2.87E-06,0.00193,0.00149,1.77,1.844
medium/gaussian_010.csv,280707,2.20E-06,0.0016,0.00137,1.779,1.844
medium/uniform_001.csv,284250,2.00E-06,0.00118,0.0017,1.996,1.997
medium/uniform_002.csv,169166,1.60E-06,0.00151,0.00107,1.999,1.995
medium/uniform_003.csv,168257,1.75E-06,0.00157,0.00112,1.999,1.995
medium/uniform_004.csv,130822,2.38E-06,0.00156,0.00152,1.997,1.993
medium/uniform_005.csv,262969,1.56E-06,0.00132,0.00117,2,1.996
medium/uniform_006.csv,169883,2.62E-06,0.00148,0.00178,1.999,1.995
medium/uniform_007.csv,180695,1.55E-06,0.00131,0.00118,1.999,1.995
medium/uniform_008.csv,150379,2.09E-06,0.00124,0.00168,1.998,1.994
medium/uniform_009.csv,256600,1.85E-06,0.00116,0.00159,2,1.996
medium/uniform_010.csv,125877,2.35E-06,0.00151,0.00155,1.997,1.993
medium/parcel_001.csv,167256,5.50E-06,0.00231,0.00246,2,1.999
medium/parcel_002.csv,237091,3.83E-06,0.00197,0.00195,2,1.999
medium/parcel_003.csv,145112,6.13E-06,0.00253,0.0026,2,1.999
medium/parcel_004.csv,234844,3.84E-06,0.00193,0.00198,2,1.999
medium/parcel_005.csv,268795,3.21E-06,0.00179,0.0018,2,1.999
medium/parcel_006.csv,129037,6.81E-06,0.00247,0.00247,2,1.998
medium/parcel_007.csv,229695,4.00E-06,0.00208,0.00192,2,1.999
medium/parcel_008.csv,170591,5.54E-06,0.0022,0.0022,2,1.998
medium/parcel_009.csv,274540,3.40E-06,0.00187,0.00182,2,1.999
medium/parcel_010.csv,146911,6.00E-06,0.00225,0.00225,2,1.998
medium/bit_001.csv,121686,3.48E-06,0.00191,0.00182,0.81,0.665
medium/bit_002.csv,286626,2.57E-06,0.00165,0.00156,2,1.708
medium/bit_003.csv,121473,1.39E-06,0.00105,0.00132,1.996,1.842
medium/bit_004.csv,211589,1.97E-06,0.00188,0.00105,0.81,0.704
medium/bit_005.csv,297806,2.17E-06,0.00196,0.00111,1.998,1.876
medium/bit_006.csv,205713,2.10E-06,0.00153,0.00137,0.757,0.779
medium/bit_007.csv,160065,3.22E-06,0.00195,0.00165,0.811,0.686
medium/bit_008.csv,136564,1.86E-06,0.00106,0.00176,1.997,1.806
medium/bit_009.csv,260431,1.28E-06,0.00122,0.00105,1.984,1.651
medium/bit_010.csv,232458,1.38E-06,0.0013,0.00106,1.996,1.816
