dataset_name,cardinality,AVG area,AVG x,AVG y,E0,E2,block_size,total_area,total_margin,total_overlap,size_std,block_util,total_blocks,x1,y1,x2,y2
large_aws/Uniform_001.csv,21504000,2.1e-07,0.0007,0.0003,2.0,1.999,33554432.0,50.04999492783257,100.0499844360015,1226.224875731898,0.0,0.9948703223466872,50,2.1016980378263383e-09,1.3888790528771006e-07,1.0006998658655066,1.0002999638441261
large_aws/Uniform_002.csv,16128000,1.5e-06,0.001,0.0015,2.0,1.999,33554432.0,38.095042752848265,76.09498577159441,704.7582909276929,0.0,0.9886993177627262,38,1.0663838034830064e-07,2.5081202337240427e-08,1.0009998687981705,1.0014998884896862
large_aws/Uniform_003.csv,10752000,1e-09,5e-05,2e-05,2.0,1.996,33554432.0,25.001743610743127,50.0017435860286,300.0209233289176,0.0,0.9882036089897156,25,2.2354560869075613e-08,5.064526564790839e-08,1.0000499757002368,1.0000198407407337
large_aws/Uniform_enx_001.csv,17920000,1.2e-06,0.002,0.0006,2.0,1.999,33554432.0,42.109225833301416,84.10917546250383,863.239129582679,0.0,0.9947710874534788,42,5.173133865721269e-08,1.6556481308160895e-07,1.0019997138217238,1.0005999192483284
large_aws/Uniform_enx_002.csv,19712000,1.6e-08,0.0008,2e-05,2.0,1.999,33554432.0,46.03771632873071,92.03771559462099,1035.8486173964407,0.0,0.9906263889177984,46,1.8228007436782434e-08,3.7191389967716766e-08,1.0007999726895178,1.0000199869607704
large_aws/Uniform_enx_003.csv,12544000,1.4e-07,0.002,7e-05,2.0,1.998,33554432.0,30.06209831081888,60.0620941189443,435.9004255068737,0.0,0.9700319200754166,30,2.990167169425462e-08,1.2335861587775554e-07,1.0019999670961632,1.0000699901289345
large_aws/Uniform_eny_001.csv,25088000,1.05e-07,3e-05,0.0035,2.0,1.998,33554432.0,60.211794970637776,120.21178868492224,1776.2479516338144,0.0,0.9857135693232218,60,3.951083349384986e-08,1.1029425417419247e-07,1.0000299725296729,1.0034999886907852
large_aws/Uniform_eny_002.csv,8960000,4e-07,0.0001,0.004,2.0,1.997,33554432.0,21.086104550648614,42.08609615760445,210.86104550648614,0.0,0.9940007229646048,21,1.3152462008392264e-08,7.164140380933047e-08,1.00009993291103,1.0039999689116192
large_aws/Uniform_eny_003.csv,14336000,4.8e-08,6e-05,0.0008,2.0,1.998,33554432.0,34.02923705041307,68.0292354210767,561.4824113318157,0.0,0.9728537131758296,34,1.3697646905619365e-08,9.461980421399119e-09,1.0000599187446146,1.000799969740798
large_aws/Uniform_004.csv,21504000,1.6300000000000002e-07,0.00025,0.00065,2.0,1.999,33554432.0,50.04500175886816,100.04499363767816,1226.1025430922698,0.0,0.9945789325237274,50,4.919049934049014e-08,1.4197977238339377e-09,1.0002499382148315,1.0006499851490291
large_aws/Uniform_005.csv,16128000,2.5e-06,0.0025,0.001,2.0,2.0,33554432.0,38.13308819440983,76.1329932061166,705.4621315965817,0.0,0.9931933142636952,38,7.810773472449738e-08,7.81013420603216e-09,1.0024999855175751,1.0009999216138885
large_aws/Uniform_006.csv,25088000,3.15e-09,9e-05,3.5e-05,2.0,1.998,33554432.0,58.00724204370023,116.00724186154058,1653.2063982454565,0.0,0.9945328374361172,58,4.2241345865612345e-08,7.660103584772315e-08,1.0000899821069669,1.0000349964171489
