dataset_name,cardinality,AVG area,AVG x,AVG y,E0,E2,block_size,total_area,total_margin,total_overlap,size_std,block_util,total_blocks,x1,y1,x2,y2
large_aws/Uniform_001.csv,21504000,2.1e-07,0.0007,0.0003,2.0,1.999,33554432.0,1.6249824958197667,26.94944621177021,0.6239831621514836,922467.4508930544,0.629664760978916,79,2.1016980378263383e-09,1.3888790528771006e-07,1.0006998658655066,1.0002999638441261
large_aws/Uniform_002.csv,16128000,1.5e-06,0.001,0.0015,2.0,1.999,33554432.0,1.5548286425826148,20.664518228923086,0.5523293542122261,901711.936065921,0.6591328785084841,57,1.0663838034830064e-07,2.5081202337240427e-08,1.0009998687981705,1.0014998884896862
large_aws/Uniform_003.csv,10752000,1e-09,5e-05,2e-05,2.0,1.996,33554432.0,1.2055782638658734,13.52083382881282,0.2055095483548968,726520.6249044277,0.8235030074914297,30,2.2354560869075613e-08,5.064526564790839e-08,1.0000499757002368,1.0000198407407337
large_aws/Uniform_enx_001.csv,17920000,1.2e-06,0.002,0.0006,2.0,1.999,33554432.0,1.6981724640432787,23.96200061897369,0.6955733440824895,951535.94861896,0.6055128358412479,69,5.173133865721269e-08,1.6556481308160895e-07,1.0019997138217238,1.0005999192483284
large_aws/Uniform_enx_002.csv,19712000,1.6e-08,0.0008,2e-05,2.0,1.999,33554432.0,1.5734020960553192,26.316973526215573,0.5725834334110272,1082949.3888232221,0.6509830555745534,70,1.8228007436782434e-08,3.7191389967716766e-08,1.0007999726895178,1.0000199869607704
large_aws/Uniform_enx_003.csv,12544000,1.4e-07,0.002,7e-05,2.0,1.998,33554432.0,1.3587022127238682,17.444049723932473,0.3566337056307089,790048.0704269238,0.7461784000580127,39,2.990167169425462e-08,1.2335861587775554e-07,1.0019999670961632,1.0000699901289345
large_aws/Uniform_eny_001.csv,25088000,1.05e-07,3e-05,0.0035,2.0,1.998,33554432.0,1.6499597098314294,30.594247856112453,0.6464308782072711,990316.6666187404,0.6225559385199296,95,3.951083349384986e-08,1.1029425417419247e-07,1.0000299725296729,1.0034999886907852
large_aws/Uniform_eny_002.csv,8960000,4e-07,0.0001,0.004,2.0,1.997,33554432.0,1.2462388889404878,12.726812369370627,0.2421404666037175,488373.85507790116,0.8028467377791038,26,1.3152462008392264e-08,7.164140380933047e-08,1.00009993291103,1.0039999689116192
large_aws/Uniform_eny_003.csv,14336000,4.8e-08,6e-05,0.0008,2.0,1.998,33554432.0,1.4042131397090891,18.12893623675412,0.4033543852664943,983254.9718133572,0.7190657879995264,46,1.3697646905619365e-08,9.461980421399119e-09,1.0000599187446146,1.000799969740798
large_aws/Uniform_004.csv,21504000,1.6300000000000002e-07,0.00025,0.00065,2.0,1.999,33554432.0,1.6032806330618048,27.861982490828442,0.6023811343407195,990543.4711601972,0.6375505977716202,78,4.919049934049014e-08,1.4197977238339377e-09,1.0002499382148315,1.0006499851490291
large_aws/Uniform_005.csv,16128000,2.5e-06,0.0025,0.001,2.0,2.0,33554432.0,1.720202197089839,22.120972051176604,0.7167008775728557,864111.1630592695,0.5990689832066732,63,7.810773472449738e-08,7.81013420603216e-09,1.0024999855175751,1.0009999216138885
large_aws/Uniform_006.csv,25088000,3.15e-09,9e-05,3.5e-05,2.0,1.998,33554432.0,1.3383429373034237,26.19843194037332,0.3382184999412305,945177.0031144726,0.7491286307960362,77,4.2241345865612345e-08,7.660103584772315e-08,1.0000899821069669,1.0000349964171489
large_aws/Uniform_enx_004.csv,17920000,3.15e-08,0.0007,4.5e-05,2.0,1.998,33554432.0,1.5537331701919401,22.06302992247405,0.5529897290122205,840907.667149393,0.6565222640832266,63,1.0151277152203876e-08,9.676240564360227e-08,1.000699898102767,1.0000448234189974
