dataset_name, cardinality, AVG area, AVG x, AVG y,E0,E2
small/bit_001.csv,24611,1.75E-06,0.00107,0.00163,1.999,1.937
small/bit_002.csv,25159,2.02E-06,0.00102,0.00199,1.6225,1.936
small/bit_003.csv,27855,2.20E-06,0.00153,0.00144,1.999,1.814
small/bit_004.csv,23671,2.19E-06,0.00116,0.00188,0.81,0.785
small/bit_005.csv,26711,1.94E-06,0.00119,0.00164,1.626,1.868
small/bit_006.csv,19430,2.28E-06,0.0013,0.00175,1.993,1.694
small/bit_007.csv,11624,1.69E-06,0.00154,0.0011,0.778,0.8295
small/bit_008.csv,29516,2.62E-06,0.00134,0.00195,2,1.969
small/bit_009.csv,18835,1.66E-06,0.00138,0.00121,0.7455,0.7995
small/bit_010.csv,16910,3.27E-06,0.00184,0.00178,0.895,0.9355
small/bit_011.csv,29181,2.10E-06,0.00192,0.00109,1.6445,1.89
small/bit_012.csv,10242,1.06E-06,0.00101,0.00105,2,1.895
small/bit_013.csv,29815,3.40E-06,0.0019,0.00179,1.828,1.856
small/bit_014.csv,19613,1.68E-06,0.00158,0.00106,1.937,1.958
small/bit_015.csv,12046,2.04E-06,0.0019,0.00107,2,1.972
small/bit_016.csv,25784,1.36E-06,0.00131,0.00104,1.994,1.66
small/bit_017.csv,14416,1.66E-06,0.00129,0.00129,0.469,0.809
small/bit_018.csv,28074,1.67E-06,0.00116,0.00143,1.966,1.868
small/bit_019.csv,16297,1.61E-06,0.00147,0.0011,1.997,1.948
small/bit_020.csv,11406,1.49E-06,0.00115,0.00129,1.814,1.606
small/bit_021.csv,22107,1.11E-06,0.00105,0.00106,2,1.956
small/bit_022.csv,27475,1.18E-06,0.00107,0.00111,1.59,1.782
small/bit_023.csv,13135,1.42E-06,0.00116,0.00123,1.5245,1.519
small/bit_024.csv,10364,2.66E-06,0.00189,0.0014,1.987,1.949
small/bit_025.csv,23610,1.69E-06,0.00152,0.00111,0.7755,0.222
small/bit_026.csv,23304,2.54E-06,0.00182,0.00139,1.935,1.695
small/bit_027.csv,29799,1.76E-06,0.00114,0.00154,1.144,0.8525
small/bit_028.csv,26949,2.27E-06,0.00143,0.00159,1.848,1.796
small/bit_029.csv,10785,1.20E-06,0.00102,0.00118,1.997,1.649
small/bit_030.csv,24920,1.85E-06,0.0015,0.00124,1.981,1.979
small/bit_031.csv,11567,2.66E-06,0.00191,0.00139,0.81,0.737
small/bit_032.csv,19847,1.87E-06,0.00186,0.001,1.88,1.757
small/bit_033.csv,22190,2.21E-06,0.00155,0.00142,0.808,0.85
small/bit_034.csv,11842,1.91E-06,0.00156,0.00123,1.83,1.772
small/bit_035.csv,20279,2.93E-06,0.00165,0.00178,1.954,1.602
small/bit_036.csv,20478,2.11E-06,0.00119,0.00177,1.718,1.519
small/bit_037.csv,23123,1.50E-06,0.001,0.00149,0.7555,0.7985
small/bit_038.csv,26438,3.08E-06,0.00171,0.0018,1.788,1.7
small/bit_039.csv,28786,2.55E-06,0.00168,0.00151,0.81,0.801
small/bit_040.csv,17028,2.87E-06,0.00174,0.00164,0.81,0.799
small/diagonal_001.csv,24426,2.91E-06,0.00147,0.00198,1.733,1.656
small/diagonal_002.csv,12867,1.71E-06,0.00115,0.00149,1.654,1.483
small/diagonal_003.csv,18426,1.66E-06,0.00159,0.00104,1.783,1.482
small/diagonal_004.csv,28371,3.15E-06,0.0016,0.00198,1.741,1.564
small/diagonal_005.csv,13541,1.98E-06,0.00133,0.00149,1.723,1.714
small/diagonal_006.csv,18763,2.35E-06,0.00173,0.00135,1.738,1.5
small/diagonal_007.csv,29144,1.33E-06,0.00115,0.00116,1.699,1.566
small/diagonal_008.csv,28148,3.12E-06,0.00178,0.00175,1.728,1.477
small/diagonal_009.csv,10319,1.41E-06,0.0011,0.00128,1.641,1.56
small/diagonal_010.csv,26361,1.63E-06,0.00104,0.00157,1.684,1.513
small/diagonal_011.csv,27283,3.54E-06,0.00177,0.002,1.788,1.646
small/diagonal_012.csv,25424,2.23E-06,0.00159,0.00141,1.669,1.599
small/diagonal_013.csv,17798,3.09E-06,0.00157,0.00197,1.652,1.5
small/diagonal_014.csv,18443,2.48E-06,0.00159,0.00156,1.636,1.574
small/diagonal_015.csv,18106,2.40E-06,0.00196,0.00122,1.756,1.62
small/diagonal_016.csv,13783,1.73E-06,0.00132,0.00132,1.658,1.48
small/diagonal_017.csv,28551,3.22E-06,0.00197,0.00163,1.713,1.583
small/diagonal_018.csv,11008,2.39E-06,0.00173,0.00138,1.61,1.579
small/diagonal_019.csv,23197,2.03E-06,0.00107,0.0019,1.719,1.539
small/diagonal_020.csv,22904,2.76E-06,0.00147,0.00188,1.748,1.722
small/diagonal_021.csv,29223,2.35E-06,0.00127,0.00186,1.621,1.537
small/diagonal_022.csv,18890,2.54E-06,0.00141,0.0018,1.696,1.646
small/diagonal_023.csv,24132,2.50E-06,0.00165,0.00152,1.603,1.553
small/diagonal_024.csv,22132,1.58E-06,0.00131,0.00121,1.781,1.732
small/diagonal_025.csv,16727,2.05E-06,0.00159,0.00129,1.667,1.51
small/diagonal_026.csv,11812,2.60E-06,0.00193,0.00135,1.53,1.499
small/diagonal_027.csv,24151,1.87E-06,0.00158,0.00118,1.758,1.556
small/diagonal_028.csv,22942,2.01E-06,0.0017,0.00118,1.627,1.614
small/diagonal_029.csv,28304,2.27E-06,0.00114,0.002,1.764,1.525
small/diagonal_030.csv,19498,2.48E-06,0.00167,0.00149,1.641,1.539
small/diagonal_031.csv,12759,1.84E-06,0.00113,0.00163,1.634,1.57
small/diagonal_032.csv,24111,2.08E-06,0.00191,0.00109,1.75,1.655
small/diagonal_033.csv,26184,2.10E-06,0.00135,0.00156,1.651,1.652
small/diagonal_034.csv,17809,2.73E-06,0.00155,0.00176,1.762,1.483
small/diagonal_035.csv,24541,2.52E-06,0.00128,0.00198,1.641,1.562
small/diagonal_036.csv,29608,3.73E-06,0.00199,0.00187,1.704,1.719
small/diagonal_037.csv,10343,1.49E-06,0.00132,0.00112,1.713,1.706
small/diagonal_038.csv,29664,2.22E-06,0.00124,0.0018,1.648,1.507
small/diagonal_039.csv,21870,3.28E-06,0.00185,0.00178,1.78,1.702
small/diagonal_040.csv,20513,3.55E-06,0.00193,0.00184,1.76,1.604
small/gaussian_001.csv,28129,1.71E-06,0.00114,0.00149,1.677,1.679
small/gaussian_002.csv,22201,2.54E-06,0.00147,0.00173,1.688,1.6745
small/gaussian_003.csv,27624,1.77E-06,0.0015,0.00118,1.673,1.689
small/gaussian_004.csv,17754,1.60E-06,0.00158,0.00101,1.704,1.651
small/gaussian_005.csv,15626,3.29E-06,0.00165,0.002,1.666,1.673
small/gaussian_006.csv,26379,2.30E-06,0.00119,0.00193,1.688,1.6645
small/gaussian_007.csv,19179,1.78E-06,0.00128,0.00138,1.646,1.676
small/gaussian_008.csv,29526,3.15E-06,0.00159,0.00198,1.699,1.688
small/gaussian_009.csv,26629,2.15E-06,0.00118,0.00183,1.695,1.671
small/gaussian_010.csv,29713,1.88E-06,0.00179,0.00105,1.668,1.657
small/gaussian_011.csv,20831,2.10E-06,0.00162,0.0013,1.645,1.675
small/gaussian_012.csv,24958,2.94E-06,0.00179,0.00164,1.687,1.6895
small/gaussian_013.csv,14449,2.10E-06,0.00177,0.00119,1.639,1.615
small/gaussian_014.csv,17513,2.71E-06,0.00141,0.00192,1.654,1.651
small/gaussian_015.csv,25197,3.56E-06,0.00197,0.00181,1.712,1.7055
small/gaussian_016.csv,13147,2.68E-06,0.00185,0.00145,1.65,1.6415
small/gaussian_017.csv,11902,1.78E-06,0.00112,0.00158,1.594,1.675
small/gaussian_018.csv,20348,2.39E-06,0.00158,0.00151,1.677,1.653
small/gaussian_019.csv,17953,2.67E-06,0.00155,0.00172,1.659,1.6515
small/gaussian_020.csv,15495,2.14E-06,0.00176,0.00121,1.619,1.625
small/gaussian_021.csv,25562,1.56E-06,0.00124,0.00126,1.66,1.666
small/gaussian_022.csv,19242,2.55E-06,0.00159,0.0016,1.643,1.652
small/gaussian_023.csv,21992,2.74E-06,0.00165,0.00166,1.667,1.684
