dataset_name, cardinality, AVG area, AVG x, AVG y,E0,E2
large_aws/Uniform_001.csv,21504000,2.1e-07,0.0007,0.0003,2.0,1.999
large_aws/Uniform_002.csv,16128000,1.5e-06,0.001,0.0015,2.0,1.999
large_aws/Uniform_003.csv,10752000,1e-09,5e-05,2e-05,2.0,1.996
large_aws/Uniform_enx_001.csv,17920000,1.2e-06,0.002,0.0006,2.0,1.999
large_aws/Uniform_enx_002.csv,19712000,1.6e-08,0.0008,2e-05,2.0,1.999
large_aws/Uniform_enx_003.csv,12544000,1.4e-07,0.002,7e-05,2.0,1.9980000000000002
large_aws/Uniform_eny_001.csv,25088000,1.05e-07,2.9999999999999997e-05,0.0035,2.0,1.9980000000000002
large_aws/Uniform_eny_002.csv,8960000,4e-07,0.0001,0.004,2.0,1.9969999999999999
large_aws/Uniform_eny_003.csv,14336000,4.8e-08,5.9999999999999995e-05,0.0008,2.0,1.9980000000000002
large_aws/Uniform_004.csv,21504000,1.6300000000000002e-07,0.00025,0.00065,2.0,1.999
large_aws/Uniform_005.csv,16128000,2.5e-06,0.0025,0.001,2.0,2.0
large_aws/Uniform_006.csv,25088000,3.15e-09,9e-05,3.5e-05,2.0,1.9980000000000002
large_aws/Uniform_enx_004.csv,17920000,3.15e-08,0.0007,4.5e-05,2.0,1.9980000000000002
large_aws/Uniform_enx_005.csv,19712000,6.65e-08,0.00095,7e-05,2.0,1.999
large_aws/Uniform_enx_006.csv,7168000,1.13e-06,0.0025,0.00045,2.0,1.999
large_aws/Uniform_eny_004.csv,25088000,1.75e-07,7e-05,0.0025,2.0,1.999
large_aws/Uniform_eny_005.csv,8960000,1.95e-07,0.00013000000000000002,0.0015,2.0,1.9969999999999999
large_aws/Uniform_eny_006.csv,16128000,3.38e-08,4.5e-05,0.00075,2.0,1.9980000000000002
large_aws/Diagonal_001.csv,21504000,1.5e-06,0.001,0.0015,1.915,1.215
large_aws/Diagonal_002.csv,16128000,1e-09,5e-05,2e-05,1.84,1.202
large_aws/Diagonal_003.csv,10752000,2.1e-07,0.0007,0.0003,1.824,1.204
large_aws/Diagonal_enx_001.csv,17920000,1.6e-08,0.0008,2e-05,1.7919999999999998,1.2890000000000001
large_aws/Diagonal_enx_002.csv,19712000,1.4e-07,0.002,7e-05,1.901,1.273
large_aws/Diagonal_enx_003.csv,12544000,1.2e-06,0.002,0.0006,1.91,1.239
large_aws/Diagonal_eny_001.csv,25088000,4.8e-08,5.9999999999999995e-05,0.0008,1.8719999999999999,1.17
large_aws/Diagonal_eny_002.csv,8960000,1.05e-07,2.9999999999999997e-05,0.0035,1.893,1.2919999999999998
large_aws/Diagonal_eny_003.csv,14336000,4e-07,0.0001,0.004,1.8130000000000002,1.273
large_aws/Diagonal_004.csv,16128000,1.6300000000000002e-07,0.00025,0.00065,1.8880000000000001,1.226
large_aws/Diagonal_005.csv,10752000,2.5e-06,0.0025,0.001,1.849,1.28
large_aws/Diagonal_006.csv,17920000,3.15e-09,9e-05,3.5e-05,1.7790000000000001,1.242
large_aws/Diagonal_enx_004.csv,19712000,3.15e-08,0.0007,4.5e-05,1.7819999999999998,1.206
large_aws/Diagonal_enx_005.csv,12544000,6.65e-08,0.00095,7e-05,1.8730000000000002,1.204
large_aws/Diagonal_enx_006.csv,25088000,1.13e-06,0.0025,0.00045,1.9080000000000001,1.133
large_aws/Diagonal_eny_004.csv,8960000,1.75e-07,7e-05,0.0025,1.796,1.27
large_aws/Diagonal_eny_005.csv,14336000,1.95e-07,0.00013000000000000002,0.0015,1.8019999999999998,1.232
large_aws/Diagonal_eny_006.csv,21504000,3.38e-08,4.5e-05,0.00075,1.8769999999999998,1.203
large_aws/Gauss_001.csv,16128000,1.6300000000000002e-07,0.00025,0.00065,1.8119999999999998,1.845
large_aws/Gauss_002.csv,10752000,2.5e-06,0.0025,0.001,1.8459999999999999,1.8459999999999999
large_aws/Gauss_003.csv,17920000,3.15e-09,9e-05,3.5e-05,1.867,1.84
large_aws/Gauss_enx_001.csv,19712000,3.15e-08,0.0007,4.5e-05,1.794,1.845
large_aws/Gauss_enx_002.csv,12544000,6.65e-08,0.00095,7e-05,1.84,1.8459999999999999
large_aws/Gauss_enx_003.csv,25088000,1.13e-06,0.0025,0.00045,1.869,1.8459999999999999
large_aws/Gauss_eny_001.csv,8960000,1.75e-07,7e-05,0.0025,1.848,1.845
large_aws/Gauss_eny_002.csv,14336000,1.95e-07,0.00013000000000000002,0.0015,1.82,1.8459999999999999
large_aws/Gauss_eny_003.csv,21504000,3.38e-08,4.5e-05,0.00075,1.8530000000000002,1.845
large_aws/Gauss_004.csv,21504000,1.5e-06,0.001,0.0015,1.883,1.847
large_aws/Gauss_005.csv,16128000,1e-09,5e-05,2e-05,1.864,1.84
large_aws/Gauss_006.csv,10752000,2.1e-07,0.0007,0.0003,1.806,1.844
large_aws/Gauss_enx_004.csv,17920000,1.6e-08,0.0008,2e-05,1.7990000000000002,1.844
large_aws/Gauss_enx_005.csv,19712000,1.4e-07,0.002,7e-05,1.835,1.8459999999999999
large_aws/Gauss_enx_006.csv,12544000,1.2e-06,0.002,0.0006,1.857,1.8459999999999999
large_aws/Gauss_eny_004.csv,25088000,4.8e-08,5.9999999999999995e-05,0.0008,1.804,1.845
large_aws/Gauss_eny_005.csv,8960000,1.05e-07,2.9999999999999997e-05,0.0035,1.8330000000000002,1.8459999999999999
large_aws/Gauss_eny_006.csv,14336000,4e-07,0.0001,0.004,1.8519999999999999,1.845
large_aws/DiagonalRot_001.csv,10752000,1.6300000000000002e-07,0.00025,0.00065,1.859,1.148
large_aws/DiagonalRot_002.csv,17920000,2.5e-06,0.0025,0.001,1.901,1.37
large_aws/DiagonalRot_003.csv,19712000,3.15e-09,9e-05,3.5e-05,1.8230000000000002,1.0759999999999998
large_aws/DiagonalRot_enx_001.csv,12544000,3.15e-08,0.0007,4.5e-05,1.767,1.234
large_aws/DiagonalRot_enx_002.csv,25088000,6.65e-08,0.00095,7e-05,1.875,1.244
large_aws/DiagonalRot_enx_003.csv,8960000,1.13e-06,0.0025,0.00045,1.8940000000000001,1.192
large_aws/DiagonalRot_eny_001.csv,14336000,1.75e-07,7e-05,0.0025,1.745,1.126
