dataset_name, cardinality, AVG area, AVG x, AVG y,E0,E2
large_aws/Uniform_001.csv,21504000,2.10E-07,0.0007,0.0003,2,1.999
large_aws/Uniform_002.csv,16128000,1.50E-06,0.001,0.0015,2,1.999
large_aws/Uniform_003.csv,10752000,1.00E-09,5.00E-05,2.00E-05,2,1.996
large_aws/Uniform_enx_001.csv,17920000,1.20E-06,0.002,0.0006,2,1.999
large_aws/Uniform_enx_002.csv,19712000,1.60E-08,0.0008,2.00E-05,2,1.999
large_aws/Uniform_enx_003.csv,12544000,1.40E-07,0.002,7.00E-05,2,1.998
large_aws/Uniform_eny_001.csv,25088000,1.05E-07,3.00E-05,0.0035,2,1.998
large_aws/Uniform_eny_002.csv,8960000,4.00E-07,0.0001,0.004,2,1.997
large_aws/Uniform_eny_003.csv,14336000,4.80E-08,6.00E-05,0.0008,2,1.998
large_aws/Uniform_004.csv,21504000,1.63E-07,0.00025,0.00065,2,1.999
large_aws/Uniform_005.csv,16128000,2.50E-06,0.0025,0.001,2,2
large_aws/Uniform_006.csv,25088000,3.15E-09,9.00E-05,3.50E-05,2,1.998
large_aws/Uniform_enx_004.csv,17920000,3.15E-08,0.0007,4.50E-05,2,1.998
large_aws/Uniform_enx_005.csv,19712000,6.65E-08,0.00095,7.00E-05,2,1.999
large_aws/Uniform_enx_006.csv,7168000,1.13E-06,0.0025,0.00045,2,1.999
large_aws/Uniform_eny_004.csv,25088000,1.75E-07,7.00E-05,0.0025,2,1.999
large_aws/Uniform_eny_005.csv,8960000,1.95E-07,0.00013,0.0015,2,1.997
large_aws/Uniform_eny_006.csv,16128000,3.38E-08,4.50E-05,0.00075,2,1.998
large_aws/Diagonal_001.csv,21504000,1.50E-06,0.001,0.0015,1.915,1.215
large_aws/Diagonal_002.csv,16128000,1.00E-09,5.00E-05,2.00E-05,1.84,1.202
large_aws/Diagonal_003.csv,10752000,2.10E-07,0.0007,0.0003,1.824,1.204
large_aws/Diagonal_enx_001.csv,17920000,1.60E-08,0.0008,2.00E-05,1.792,1.289
large_aws/Diagonal_enx_002.csv,19712000,1.40E-07,0.002,7.00E-05,1.901,1.273
large_aws/Diagonal_enx_003.csv,12544000,1.20E-06,0.002,0.0006,1.91,1.239
large_aws/Diagonal_eny_001.csv,25088000,4.80E-08,6.00E-05,0.0008,1.872,1.17
large_aws/Diagonal_eny_002.csv,8960000,1.05E-07,3.00E-05,0.0035,1.893,1.292
large_aws/Diagonal_eny_003.csv,14336000,4.00E-07,0.0001,0.004,1.813,1.273
large_aws/Diagonal_004.csv,16128000,1.63E-07,0.00025,0.00065,1.888,1.226
large_aws/Diagonal_005.csv,10752000,2.50E-06,0.0025,0.001,1.849,1.28
large_aws/Diagonal_006.csv,17920000,3.15E-09,9.00E-05,3.50E-05,1.779,1.242
large_aws/Diagonal_enx_004.csv,19712000,3.15E-08,0.0007,4.50E-05,1.782,1.206
large_aws/Diagonal_enx_005.csv,12544000,6.65E-08,0.00095,7.00E-05,1.873,1.204
large_aws/Diagonal_enx_006.csv,25088000,1.13E-06,0.0025,0.00045,1.908,1.133
large_aws/Diagonal_eny_004.csv,8960000,1.75E-07,7.00E-05,0.0025,1.796,1.27
large_aws/Diagonal_eny_005.csv,14336000,1.95E-07,0.00013,0.0015,1.802,1.232
large_aws/Diagonal_eny_006.csv,21504000,3.38E-08,4.50E-05,0.00075,1.877,1.203
large_aws/Gauss_001.csv,16128000,1.63E-07,0.00025,0.00065,1.812,1.845
large_aws/Gauss_002.csv,10752000,2.50E-06,0.0025,0.001,1.846,1.846
large_aws/Gauss_003.csv,17920000,3.15E-09,9.00E-05,3.50E-05,1.867,1.84
large_aws/Gauss_enx_001.csv,19712000,3.15E-08,0.0007,4.50E-05,1.794,1.845
