feature_name,importance_score
cardinality_x,0.020555966346950835
AVG area_x,0.0026694261044056416
AVG x_x,0.01019130488129293
AVG y_x,0.00711360850452178
E0_x,0.015330396971851856
E2_x,0.02234419797338165
block_size_x,0.005879924674405703
total_area_x,0.04975637211655846
total_margin_x,0.021739417419228788
total_overlap_x,0.025964456648640392
size_std_x,0.033216979548221955
block_util_x,0.021253533546510363
total_blocks_x,0.025631646850758676
cardinality_y,0.08855676030153717
AVG area_y,0.016758403552939144
AVG x_y,0.037758712612480455
AVG y_y,0.035538788635877235
E0_y,0.005721952574724703
E2_y,0.013986839356914672
block_size_y,0.06461914164996728
total_area_y,0.03857755451997934
total_margin_y,0.025633734079517266
total_overlap_y,0.019172935693189463
size_std_y,0.02013144518108878
block_util_y,0.03338517517428166
total_blocks_y,0.03904133404595269
intersection_area1,0.062465313849504725
intersection_area2,0.015393425854607781
jaccard_similarity,0.03682918640274119
e0,0.012067838173762259
e2,0.025374933431997145
join_cardinality,0.031571423715929345
mbr_bnlj,0.027766332386415075
mbr_pbsm,0.028660257069295945
mbr_dj,0.029413120342069575
mbr_repj,0.029928159808498028
