dataset1,dataset2,y_test,y_pred
A10,B10,4,3
A100,B100,4,3
A101,B101,2,2
A102,B102,2,2
A103,B103,2,2
A105,B105,1,2
A109,B109,4,4
A11,B11,2,2
A12,B12,2,2
A120,B120,4,4
A123,B123,2,2
A129,B129,4,4
A137,B137,2,2
A150,B150,4,4
A151,B151,3,2
A154,B154,4,4
A156,B156,2,2
A159,B159,2,3
A164,B164,4,4
A167,B167,2,2
A172,B172,4,4
A177,B177,2,3
A182,B182,4,4
A184,B184,4,4
A195,B195,2,2
A196,B196,2,2
A200,B200,3,3
A201,B201,3,2
A203,B203,2,2
A207,B207,2,2
A211,B211,3,2
A215,B215,2,2
A227,B227,2,2
A230,B230,3,3
A231,B231,3,2
A246,B246,2,2
A247,B247,2,3
A250,B250,3,3
A253,B253,2,2
A257,B257,2,3
A263,B263,2,2
A266,B266,2,2
A280,B280,3,3
A283,B283,2,2
A284,B284,2,2
A296,B296,2,1
A299,B299,2,1
A3,B3,2,2
A30,B30,4,4
A31,B31,2,2
A40,B40,4,4
A56,B56,2,1
A61,B61,4,2
A64,B64,2,2
A7,B7,4,2
A71,B71,4,2
A91,B91,2,2
A92,B92,2,2
A95,B95,1,2
A97,B97,4,2
A98,B98,4,2
large_aws/Combo_001.csv,medium/bit_006.csv,2,4
large_aws/Combo_001.csv,medium/uniform_004.csv,1,4
large_aws/Combo_001.csv,medium/diagonal_009.csv,1,4
large_aws/Combo_001.csv,medium/bit_003.csv,1,4
large_aws/Combo_001.csv,medium/parcel_006.csv,1,4
large_aws/Combo_001.csv,medium/bit_009.csv,1,4
large_aws/Combo_001.csv,medium/gaussian_003.csv,4,4
large_aws/Combo_001.csv,medium/gaussian_008.csv,4,4
large_aws/Combo_002.csv,medium/gaussian_007.csv,2,4
large_aws/Combo_002.csv,medium/gaussian_010.csv,2,4
large_aws/Combo_002.csv,medium/gaussian_001.csv,1,4
large_aws/Combo_002.csv,medium/uniform_004.csv,1,4
large_aws/Combo_002.csv,medium/diagonal_005.csv,1,4
large_aws/Combo_002.csv,medium/bit_010.csv,1,4
large_aws/Combo_002.csv,medium/bit_001.csv,1,4
large_aws/Combo_002.csv,medium/bit_002.csv,1,4
large_aws/Combo_002.csv,medium/parcel_009.csv,1,4
large_aws/Combo_003.csv,medium/diagonal_003.csv,1,3
large_aws/Combo_003.csv,medium/uniform_007.csv,1,3
large_aws/Combo_003.csv,medium/bit_010.csv,1,3
large_aws/Combo_003.csv,medium/bit_008.csv,1,3
large_aws/Combo_003.csv,medium/uniform_009.csv,1,3
large_aws/Combo_003.csv,medium/gaussian_003.csv,1,4
large_aws/Combo_003.csv,medium/parcel_004.csv,1,3
large_aws/Combo_003.csv,medium/parcel_005.csv,1,3
large_aws/Combo_003.csv,medium/gaussian_002.csv,1,3
large_aws/Combo_003.csv,medium/parcel_008.csv,1,3
large_aws/Combo_003.csv,medium/diagonal_001.csv,1,3
large_aws/Combo_003.csv,medium/parcel_003.csv,1,3
large_aws/Combo_004.csv,medium/gaussian_002.csv,1,4
large_aws/Combo_004.csv,medium/parcel_003.csv,1,3
large_aws/Combo_004.csv,medium/gaussian_003.csv,1,4
large_aws/Combo_004.csv,medium/bit_009.csv,4,3
large_aws/Combo_004.csv,medium/parcel_010.csv,1,3
large_aws/Combo_004.csv,medium/uniform_007.csv,1,3
large_aws/Combo_004.csv,medium/bit_004.csv,4,4
large_aws/Combo_005.csv,medium/uniform_006.csv,1,1
large_aws/Combo_005.csv,medium/bit_004.csv,1,1
large_aws/Combo_005.csv,medium/bit_010.csv,4,1
large_aws/Combo_005.csv,medium/bit_003.csv,1,4
large_aws/Combo_005.csv,medium/bit_009.csv,2,1
large_aws/Combo_005.csv,medium/uniform_003.csv,1,1
large_aws/Combo_005.csv,medium/parcel_010.csv,1,1
large_aws/Combo_005.csv,medium/diagonal_003.csv,1,4
large_aws/Combo_005.csv,medium/bit_008.csv,1,4
large_aws/Combo_006.csv,medium/uniform_002.csv,1,3
large_aws/Combo_006.csv,medium/diagonal_003.csv,1,3
large_aws/Combo_006.csv,medium/bit_003.csv,4,3
large_aws/Combo_006.csv,medium/diagonal_001.csv,1,3
large_aws/Combo_006.csv,medium/diagonal_010.csv,1,3
large_aws/Combo_006.csv,medium/parcel_010.csv,1,3
large_aws/Combo_006.csv,medium/gaussian_002.csv,1,3
large_aws/Combo_006.csv,medium/diagonal_007.csv,1,3
large_aws/Combo_006.csv,medium/bit_007.csv,2,3
large_aws/Combo_006.csv,medium/parcel_007.csv,1,3
large_aws/Combo_006.csv,medium/bit_005.csv,1,3
large_aws/Combo_007.csv,medium/diagonal_009.csv,1,3
large_aws/Combo_007.csv,medium/diagonal_003.csv,4,4
