"D1","D2","est_1st","real_1st"
"A10","B10",3,4
"A100","B100",3,4
"A101","B101",2,2
"A102","B102",2,2
"A103","B103",2,2
"A105","B105",2,1
"A109","B109",4,4
"A11","B11",2,2
"A12","B12",2,2
"A120","B120",4,4
"A123","B123",2,2
"A129","B129",4,4
"A137","B137",2,2
"A150","B150",4,4
"A151","B151",2,3
"A154","B154",4,4
"A156","B156",2,2
"A159","B159",3,2
"A164","B164",4,4
"A167","B167",2,2
"A172","B172",4,4
"A177","B177",3,2
"A182","B182",4,4
"A184","B184",4,4
"A195","B195",2,2
"A196","B196",2,2
"A200","B200",3,3
"A201","B201",2,3
"A203","B203",2,2
"A207","B207",2,2
"A211","B211",2,3
"A215","B215",2,2
"A227","B227",2,2
"A230","B230",3,3
"A231","B231",2,3
"A246","B246",2,2
"A247","B247",3,2
"A250","B250",3,3
"A253","B253",2,2
"A257","B257",3,2
"A263","B263",2,2
"A266","B266",2,2
"A280","B280",3,3
"A283","B283",2,2
"A284","B284",2,2
"A296","B296",1,2
"A299","B299",1,2
"A3","B3",2,2
"A30","B30",4,4
"A31","B31",2,2
"A40","B40",4,4
"A56","B56",1,2
"A61","B61",2,4
"A64","B64",2,2
"A7","B7",2,4
"A71","B71",2,4
"A91","B91",2,2
"A92","B92",2,2
"A95","B95",2,1
"A97","B97",2,4
"A98","B98",2,4
"bit_006_m","Combo_001",4,2
"uniform_004_m","Combo_001",4,1
"diagonal_009_m","Combo_001",4,1
"bit_003_m","Combo_001",4,1
"parcel_006_m","Combo_001",4,1
"bit_009_m","Combo_001",4,1
"gaussian_003_m","Combo_001",4,4
"gaussian_008_m","Combo_001",4,4
"gaussian_007_m","Combo_002",4,2
"gaussian_010_m","Combo_002",4,2
"gaussian_001_m","Combo_002",4,1
"uniform_004_m","Combo_002",4,1
"diagonal_005_m","Combo_002",4,1
"bit_010_m","Combo_002",4,1
"bit_001_m","Combo_002",4,1
"bit_002_m","Combo_002",4,1
"parcel_009_m","Combo_002",4,1
"diagonal_003_m","Combo_003",3,1
"uniform_007_m","Combo_003",3,1
"bit_010_m","Combo_003",3,1
"bit_008_m","Combo_003",3,1
"uniform_009_m","Combo_003",3,1
"gaussian_003_m","Combo_003",4,1
"parcel_004_m","Combo_003",3,1
"parcel_005_m","Combo_003",3,1
"gaussian_002_m","Combo_003",3,1
"parcel_008_m","Combo_003",3,1
"diagonal_001_m","Combo_003",3,1
"parcel_003_m","Combo_003",3,1
"gaussian_002_m","Combo_004",4,1
"parcel_003_m","Combo_004",3,1
"gaussian_003_m","Combo_004",4,1
"bit_009_m","Combo_004",3,4
"parcel_010_m","Combo_004",3,1
"uniform_007_m","Combo_004",3,1
"bit_004_m","Combo_004",4,4
"uniform_006_m","Combo_005",1,1
"bit_004_m","Combo_005",1,1
"bit_010_m","Combo_005",1,4
"bit_003_m","Combo_005",4,1
"bit_009_m","Combo_005",1,2
"uniform_003_m","Combo_005",1,1
"parcel_010_m","Combo_005",1,1
"diagonal_003_m","Combo_005",4,1
"bit_008_m","Combo_005",4,1
"uniform_002_m","Combo_006",3,1
"diagonal_003_m","Combo_006",3,1
"bit_003_m","Combo_006",3,4
"diagonal_001_m","Combo_006",3,1
"diagonal_010_m","Combo_006",3,1
"parcel_010_m","Combo_006",3,1
"gaussian_002_m","Combo_006",3,1
"diagonal_007_m","Combo_006",3,1
"bit_007_m","Combo_006",3,2
"parcel_007_m","Combo_006",3,1
"bit_005_m","Combo_006",3,1
"diagonal_009_m","Combo_007",3,1
"diagonal_003_m","Combo_007",4,4
