feature_name,importance_score
cardinality_y,0.088556760301537
block_size_y,0.064619141649967
intersection_area1,0.062465313849505
total_area_x,0.049756372116559
total_blocks_y,0.039041334045953
total_area_y,0.038577554519979
AVG x_y,0.037758712612481
jaccard_similarity,0.036829186402741
AVG y_y,0.035538788635877
block_util_y,0.033385175174282
size_std_x,0.033216979548222
join_cardinality,0.031571423715929
mbr_repj,0.029928159808498
mbr_dj,0.02941312034207
mbr_pbsm,0.028660257069296
mbr_bnlj,0.027766332386415
total_overlap_x,0.02596445664864
total_margin_y,0.025633734079517
total_blocks_x,0.025631646850759
e2,0.025374933431997
E2_x,0.022344197973382
total_margin_x,0.021739417419229
block_util_x,0.02125353354651
cardinality_x,0.020555966346951
size_std_y,0.020131445181089
total_overlap_y,0.01917293569319
AVG area_y,0.016758403552939
intersection_area2,0.015393425854608
E0_x,0.015330396971852
E2_y,0.013986839356915
e0,0.012067838173762
AVG x_x,0.010191304881293
AVG y_x,0.007113608504522
block_size_x,0.005879924674406
E0_y,0.005721952574725
AVG area_x,0.002669426104406
