dataset1,dataset2,y_test,y_pred
large_aws/Combo_005.csv,medium/parcel_009.csv,1,1
large_aws/Combo_006.csv,medium/gaussian_001.csv,1,1
large_aws/Combo_002.csv,medium/uniform_006.csv,1,1
A32,B32,2,2
real/OSM2015_roads_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,3,3
large_aws/Combo_001.csv,medium/bit_010.csv,1,1
large_aws/Combo_005.csv,medium/uniform_006.csv,1,1
real/TIGER2018_EDGES_data_big_02.csv,real/TIGER2018_FACES_data_big_10.csv,3,3
A95,B95,1,2
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_FACES_data_big_04.csv,3,3
large_aws/Combo_006.csv,medium/gaussian_003.csv,1,1
A71,B71,4,2
real/OSM2015_roads_data_big_01.csv,real/TIGER2018_EDGES_data_big_19.csv,3,3
A120,B120,4,4
real/OSM2015_lakes_data_big_06.csv,real/TIGER2017_LINEARWATER_data_big_22.csv,3,3
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_09.csv,2,3
A299,B299,2,2
large_aws/Combo_001.csv,medium/uniform_003.csv,4,1
large_aws/Combo_004.csv,medium/gaussian_009.csv,1,1
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_16.csv,3,3
A115,B115,2,2
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_FACES_data_big_33.csv,2,3
A280,B280,3,3
large_aws/Combo_003.csv,medium/diagonal_005.csv,1,1
large_aws/Combo_004.csv,medium/parcel_010.csv,2,1
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_27.csv,3,3
large_aws/Combo_004.csv,medium/gaussian_002.csv,1,1
large_aws/Combo_001.csv,medium/diagonal_002.csv,1,1
real/TIGER2018_EDGES_data_big_17.csv,real/TIGER2018_FACES_data_big_19.csv,2,3
real/OSM2015_roads_data_big_18.csv,real/OSM2015_buildings_data_big_21.csv,3,3
real/OSM2015_roads_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_17.csv,2,2
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_27.csv,3,3
real/OSM2015_lakes_data_big_13.csv,real/OSM2015_roads_data_big_17.csv,3,3
large_aws/Combo_004.csv,medium/diagonal_007.csv,2,1
large_aws/Combo_005.csv,medium/gaussian_010.csv,1,1
large_aws/Combo_005.csv,medium/diagonal_001.csv,1,1
A232,B232,2,2
real/OSM2015_roads_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_23.csv,2,2
large_aws/Combo_002.csv,medium/uniform_004.csv,1,1
A218,B218,2,2
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_03.csv,3,3
real/OSM2015_buildings_data_big_15_10.csv,real/OSM2015_parks_data_big_13.csv,3,2
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_11.csv,3,3
large_aws/Combo_005.csv,medium/bit_010.csv,1,1
large_aws/Combo_005.csv,medium/parcel_001.csv,1,1
large_aws/Combo_006.csv,medium/gaussian_007.csv,1,1
real/OSM2015_buildings_data_big_15_14.csv,real/OSM2015_parks_data_big_12.csv,3,3
A263,B263,2,2
real/OSM2015_buildings_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,3,3
large_aws/Combo_002.csv,medium/diagonal_002.csv,1,1
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_26.csv,3,3
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_04.csv,3,3
A60,B60,2,2
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_21.csv,2,2
large_aws/Combo_003.csv,medium/diagonal_006.csv,1,1
A11,B11,2,2
A256,B256,2,2
large_aws/Combo_002.csv,medium/diagonal_008.csv,1,1
real/TIGER2018_EDGES_data_big_02.csv,real/TIGER2018_FACES_data_big_02.csv,1,3
A105,B105,1,2
real/OSM2015_roads_data_big_13.csv,real/OSM2015_buildings_data_big_21.csv,3,3
A193,B193,2,2
large_aws/Combo_006.csv,medium/parcel_003.csv,1,1
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_24.csv,3,3
A237,B237,2,2
A31,B31,2,2
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_09.csv,3,3
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_27.csv,3,3
A55,B55,2,2
A24,B24,2,2
A275,B275,2,2
large_aws/Combo_005.csv,medium/uniform_007.csv,1,1
A4,B4,2,2
real/OSM2015_buildings_data_big_02.csv,real/OSM2015_parks_data_big_02.csv,3,3
large_aws/Combo_004.csv,medium/bit_004.csv,1,1
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_04.csv,3,3
real/OSM2015_parks_data_big_12.csv,real/OSM2015_roads_data_big_12.csv,2,2
real/TIGER2018_EDGES_data_big_14.csv,real/TIGER2018_FACES_data_big_24.csv,3,3
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_14.csv,3,3
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_25.csv,2,3
A296,B296,2,2
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_20.csv,2,3
real/OSM2015_parks_data_big_07.csv,real/OSM2015_buildings_data_big_15_06.csv,2,3
large_aws/Combo_006.csv,medium/diagonal_010.csv,3,2
large_aws/Combo_003.csv,medium/bit_002.csv,1,1
A234,B234,2,2
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_FACES_data_big_11.csv,3,3
large_aws/Combo_007.csv,medium/diagonal_004.csv,1,1
