feature_name,importance_score
cardinality_y,0.098042930183003
block_size_y,0.077457171609988
intersection_area1,0.063884927896247
jaccard_similarity,0.052139133467497
total_area_x,0.050250829306111
AVG x_y,0.049717413059413
total_blocks_y,0.048256080202996
total_overlap_x,0.048031518431653
AVG y_y,0.04709069355727
AVG area_y,0.038866839954947
total_blocks_x,0.035535253871755
block_util_y,0.034823485279407
e0,0.033932453261253
cardinality_x,0.03117433092637
total_area_y,0.030970696360573
e2,0.027418121212444
total_margin_y,0.02596722097433
total_margin_x,0.025232817455826
intersection_area2,0.02426405301843
size_std_x,0.021139856792057
E2_x,0.019976275064413
size_std_y,0.016372230417496
E2_y,0.015048140187536
AVG y_x,0.01483412679006
total_overlap_y,0.014244848494907
block_util_x,0.013918059319312
AVG x_x,0.012214719791313
E0_x,0.010942058921057
E0_y,0.009699336304249
AVG area_x,0.004793661140958
block_size_x,0.003760716747133
