dataset1,dataset2,bops
real/OSM2015_buildings_data_big_02.csv,real/OSM2015_lakes_data_big_05.csv,12458
real/OSM2015_buildings_data_big_02.csv,real/OSM2015_lakes_data_big_06.csv,12459
real/OSM2015_buildings_data_big_02.csv,real/OSM2015_parks_data_big_02.csv,12460
real/OSM2015_buildings_data_big_03.csv,real/OSM2015_parks_data_big_02.csv,12461
real/OSM2015_lakes_data_big_05.csv,real/OSM2015_parks_data_big_02.csv,12462
real/OSM2015_lakes_data_big_06.csv,real/OSM2015_parks_data_big_02.csv,12463
real/OSM2015_buildings_data_big_02.csv,real/OSM2015_roads_data_big_01.csv,12464
real/OSM2015_lakes_data_big_05.csv,real/OSM2015_roads_data_big_01.csv,12465
real/OSM2015_buildings_data_big_02.csv,real/OSM2015_roads_data_big_02.csv,12466
real/OSM2015_buildings_data_big_03.csv,real/OSM2015_roads_data_big_02.csv,12467
real/OSM2015_lakes_data_big_05.csv,real/OSM2015_roads_data_big_02.csv,12468
real/OSM2015_lakes_data_big_06.csv,real/OSM2015_roads_data_big_02.csv,12469
real/OSM2015_parks_data_big_02.csv,real/OSM2015_roads_data_big_02.csv,12470
real/OSM2015_buildings_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_17.csv,12471
real/OSM2015_lakes_data_big_05.csv,real/TIGER2017_LINEARWATER_data_big_17.csv,12472
real/OSM2015_lakes_data_big_06.csv,real/TIGER2017_LINEARWATER_data_big_17.csv,12473
real/OSM2015_parks_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_17.csv,12474
real/OSM2015_roads_data_big_01.csv,real/TIGER2017_LINEARWATER_data_big_17.csv,12475
real/OSM2015_roads_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_17.csv,12476
real/OSM2015_buildings_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,12477
real/OSM2015_buildings_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,12478
real/OSM2015_lakes_data_big_06.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,12479
real/OSM2015_parks_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,12480
real/OSM2015_parks_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,12481
real/OSM2015_roads_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,12482
real/OSM2015_roads_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,12483
real/OSM2015_buildings_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_22.csv,12484
real/OSM2015_lakes_data_big_05.csv,real/TIGER2017_LINEARWATER_data_big_22.csv,12485
real/OSM2015_lakes_data_big_06.csv,real/TIGER2017_LINEARWATER_data_big_22.csv,12486
real/OSM2015_parks_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_22.csv,12487
real/OSM2015_roads_data_big_01.csv,real/TIGER2017_LINEARWATER_data_big_22.csv,12488
real/OSM2015_roads_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_22.csv,12489
real/OSM2015_buildings_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_23.csv,12490
real/OSM2015_buildings_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_23.csv,12491
real/OSM2015_lakes_data_big_06.csv,real/TIGER2017_LINEARWATER_data_big_23.csv,12492
real/OSM2015_parks_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_23.csv,12493
real/OSM2015_parks_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_23.csv,12494
real/OSM2015_roads_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_23.csv,12495
real/OSM2015_roads_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_23.csv,12496
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_02.csv,12497
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_02.csv,12498
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_02.csv,12499
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_02.csv,12500
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_03.csv,12501
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_03.csv,12502
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_03.csv,12503
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_03.csv,12504
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_03.csv,12505
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_04.csv,12506
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_EDGES_data_big_04.csv,12507
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_04.csv,12508
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_04.csv,12509
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_04.csv,12510
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_08.csv,12511
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_08.csv,12512
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_08.csv,12513
real/OSM2015_roads_data_big_01.csv,real/TIGER2018_EDGES_data_big_08.csv,12514
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_08.csv,12515
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_09.csv,12516
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_09.csv,12517
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_09.csv,12518
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_09.csv,12519
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_09.csv,12520
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_10.csv,12521
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_EDGES_data_big_10.csv,12522
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_10.csv,12523
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_10.csv,12524
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_10.csv,12525
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_14.csv,12526
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_14.csv,12527
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_14.csv,12528
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_14.csv,12529
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_15.csv,12530
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_15.csv,12531
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_15.csv,12532
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_15.csv,12533
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_15.csv,12534
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_16.csv,12535
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_EDGES_data_big_16.csv,12536
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_16.csv,12537
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_16.csv,12538
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_16.csv,12539
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_19.csv,12540
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_19.csv,12541
real/OSM2015_roads_data_big_01.csv,real/TIGER2018_EDGES_data_big_19.csv,12542
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_20.csv,12543
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_20.csv,12544
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_20.csv,12545
real/OSM2015_roads_data_big_01.csv,real/TIGER2018_EDGES_data_big_20.csv,12546
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_20.csv,12547
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_21.csv,12548
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_21.csv,12549
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_21.csv,12550
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_21.csv,12551
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_21.csv,12552
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_22.csv,12553
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_EDGES_data_big_22.csv,12554
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_22.csv,12555
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_22.csv,12556
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_22.csv,12557
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_27.csv,12558
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_27.csv,12559
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_27.csv,12560
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_27.csv,12561
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_27.csv,12562
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_28.csv,12563
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_EDGES_data_big_28.csv,12564
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_28.csv,12565
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_28.csv,12566
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_28.csv,12567
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_FACES_data_big_02.csv,12568
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_FACES_data_big_02.csv,12569
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_02.csv,12570
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_02.csv,12571
real/TIGER2018_EDGES_data_big_02.csv,real/TIGER2018_FACES_data_big_02.csv,12572
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_FACES_data_big_03.csv,12573
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_FACES_data_big_03.csv,12574
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_03.csv,12575
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_03.csv,12576
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_03.csv,12577
real/TIGER2018_EDGES_data_big_02.csv,real/TIGER2018_FACES_data_big_03.csv,12578
real/TIGER2018_EDGES_data_big_03.csv,real/TIGER2018_FACES_data_big_03.csv,12579
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_FACES_data_big_04.csv,12580
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_FACES_data_big_04.csv,12581
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_04.csv,12582
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_04.csv,12583
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_04.csv,12584
real/TIGER2018_EDGES_data_big_03.csv,real/TIGER2018_FACES_data_big_04.csv,12585
real/TIGER2018_EDGES_data_big_04.csv,real/TIGER2018_FACES_data_big_04.csv,12586
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_FACES_data_big_09.csv,12587
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_FACES_data_big_09.csv,12588
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_09.csv,12589
real/OSM2015_roads_data_big_01.csv,real/TIGER2018_FACES_data_big_09.csv,12590
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_09.csv,12591
real/TIGER2018_EDGES_data_big_02.csv,real/TIGER2018_FACES_data_big_09.csv,12592
real/TIGER2018_EDGES_data_big_08.csv,real/TIGER2018_FACES_data_big_09.csv,12593
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_FACES_data_big_10.csv,12594
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_FACES_data_big_10.csv,12595
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_10.csv,12596
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_10.csv,12597
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_10.csv,12598
real/TIGER2018_EDGES_data_big_02.csv,real/TIGER2018_FACES_data_big_10.csv,12599
real/TIGER2018_EDGES_data_big_03.csv,real/TIGER2018_FACES_data_big_10.csv,12600
real/TIGER2018_EDGES_data_big_08.csv,real/TIGER2018_FACES_data_big_10.csv,12601
real/TIGER2018_EDGES_data_big_09.csv,real/TIGER2018_FACES_data_big_10.csv,12602
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_FACES_data_big_11.csv,12603
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_FACES_data_big_11.csv,12604
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_11.csv,12605
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_11.csv,12606
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_11.csv,12607
real/TIGER2018_EDGES_data_big_03.csv,real/TIGER2018_FACES_data_big_11.csv,12608
real/TIGER2018_EDGES_data_big_04.csv,real/TIGER2018_FACES_data_big_11.csv,12609
real/TIGER2018_EDGES_data_big_09.csv,real/TIGER2018_FACES_data_big_11.csv,12610
real/TIGER2018_EDGES_data_big_10.csv,real/TIGER2018_FACES_data_big_11.csv,12611
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_FACES_data_big_16.csv,12612
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_FACES_data_big_16.csv,12613
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_16.csv,12614
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_16.csv,12615
real/TIGER2018_EDGES_data_big_08.csv,real/TIGER2018_FACES_data_big_16.csv,12616
real/TIGER2018_EDGES_data_big_14.csv,real/TIGER2018_FACES_data_big_16.csv,12617
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_FACES_data_big_17.csv,12618
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_FACES_data_big_17.csv,12619
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_17.csv,12620
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_17.csv,12621
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_17.csv,12622
real/TIGER2018_EDGES_data_big_08.csv,real/TIGER2018_FACES_data_big_17.csv,12623
