dataset1,dataset2,e0,e2
large_aws/Combo_001.csv,medium/diagonal_001.csv,1.72971580931865,0.883319766161815
large_aws/Combo_002.csv,medium/diagonal_001.csv,1.9036774610288,1.03846106487091
large_aws/Combo_003.csv,medium/diagonal_001.csv,1.69174138270199,1.22762518177118
large_aws/Combo_004.csv,medium/diagonal_001.csv,1.72971580931865,1.12996727226131
large_aws/Combo_005.csv,medium/diagonal_001.csv,1.67004397181411,1.083390142819
large_aws/Combo_006.csv,medium/diagonal_001.csv,1.60602523855749,0.979700456159563
large_aws/Combo_007.csv,medium/diagonal_001.csv,1.9036774610288,0.703342103130558
large_aws/Combo_008.csv,medium/diagonal_001.csv,1.9036774610288,1.12805897168342
large_aws/Combo_009.csv,medium/diagonal_001.csv,1.9036774610288,1.08459015110319
large_aws/Combo_010.csv,medium/diagonal_001.csv,1.58905967882679,0.64569978937221
large_aws/Combo_011.csv,medium/diagonal_001.csv,1.85021985907055,0.841419140991814
large_aws/Combo_012.csv,medium/diagonal_001.csv,1.79248125036058,0.882512266582491
large_aws/Combo_013.csv,medium/diagonal_001.csv,1.72971580931865,0.903958202759989
large_aws/Combo_014.csv,medium/diagonal_001.csv,1.58496250072116,1.04874495078234
large_aws/Combo_015.csv,medium/diagonal_001.csv,1.72971580931865,1.05269635523267
large_aws/Combo_016.csv,medium/diagonal_001.csv,1.9036774610288,0.725375213945225
large_aws/Combo_017.csv,medium/diagonal_001.csv,1.9036774610288,1.09989308317169
large_aws/Combo_018.csv,medium/diagonal_001.csv,1.9036774610288,1.12244948314693
large_aws/Diagonal_001.csv,medium/diagonal_001.csv,1.48783383498952,0.990598806716178
large_aws/Diagonal_002.csv,medium/diagonal_001.csv,1.48783383498952,1.00426531945016
large_aws/Diagonal_003.csv,medium/diagonal_001.csv,1.65843166186384,0.999165522044195
large_aws/Diagonal_004.csv,medium/diagonal_001.csv,1.48783383498952,0.993616731539496
large_aws/Diagonal_005.csv,medium/diagonal_001.csv,1.65843166186384,0.978950009816288
