,,,Non-indexed,,,Indexed,,
dataset1,dataset2,bnlj_result_size,bnlj_mbr_tests,bnlj_duration,bnlj_result_size,bnlj_mbr_tests,bnlj_duration,% difference
small_datasets/diagonal_001.csv,small_datasets/diagonal_002.csv,50901,831492,10.873250082,50901,882393,2.710343973,-0.06121646389863
small_datasets/diagonal_001.csv,small_datasets/diagonal_003.csv,66776,1393320,9.12524561,66776,1460096,1.006798713,-0.047925817471938
small_datasets/diagonal_004.csv,small_datasets/diagonal_001.csv,119800,2144235,9.381268934,119800,2264034,0.821893704,-0.05587027541291
small_datasets/diagonal_001.csv,small_datasets/diagonal_005.csv,28172,936041,8.998327312,28172,964212,0.615311196,-0.030095903918739
small_datasets/diagonal_001.csv,small_datasets/diagonal_006.csv,79415,1482338,5.106449253,79416,1561754,0.79846942,-0.053574825714513
small_datasets/diagonal_007.csv,small_datasets/diagonal_001.csv,91992,1878729,5.068816864,91992,1970721,0.940397706,-0.048965018371463
small_datasets/diagonal_008.csv,small_datasets/diagonal_001.csv,149845,2245116,8.994077153,149845,2394960,0.723506656,-0.066742208420411
small_datasets/diagonal_001.csv,small_datasets/diagonal_009.csv,32198,654198,4.910407341,32198,686396,0.511075802,-0.049217515186534
small_datasets/diagonal_010.csv,small_datasets/diagonal_001.csv,100258,1632251,8.878405381,100258,1732508,0.881464054,-0.061422538567904
small_datasets/diagonal_011.csv,small_datasets/diagonal_001.csv,91702,2188964,1.087876969,91702,2280666,0.771969291,-0.041892877178428
small_datasets/diagonal_012.csv,small_datasets/diagonal_001.csv,86969,1913281,8.952840642,86969,2000248,0.765409987,-0.045454379152879
small_datasets/diagonal_001.csv,small_datasets/diagonal_013.csv,84852,1327775,4.770056063,84852,1412626,0.702730061,-0.063904652520194
small_datasets/diagonal_001.csv,small_datasets/diagonal_014.csv,70336,1385239,1.03783144,70336,1455575,0.838835353,-0.050775353567146
small_datasets/diagonal_001.csv,small_datasets/diagonal_015.csv,51728,1537295,0.889792455,51728,1589023,0.612628077,-0.033648714137495
small_datasets/diagonal_001.csv,small_datasets/diagonal_016.csv,57426,946950,0.741464508,57426,1004376,0.57578747,-0.060643117376841
small_datasets/diagonal_017.csv,small_datasets/diagonal_001.csv,120808,2418678,8.971331902,120808,2539486,0.723605879,-0.049947946770922
small_datasets/diagonal_001.csv,small_datasets/diagonal_018.csv,28319,867752,0.831415693,28319,896070,0.529597376,-0.032633747891103
small_datasets/diagonal_001.csv,small_datasets/diagonal_019.csv,85587,1452286,4.979524435,85587,1537872,0.779729567,-0.058931918368696
small_datasets/diagonal_001.csv,small_datasets/diagonal_020.csv,55175,1665051,5.450004068,55175,1720226,0.800218318,-0.03313712312716
small_datasets/diagonal_021.csv,small_datasets/diagonal_001.csv,120011,1963101,5.209516812,120011,2083110,0.81109996,-0.06113236150356
small_datasets/diagonal_001.csv,small_datasets/diagonal_022.csv,51290,1345416,4.929675013,51290,1396706,0.685951452,-0.038122038090821
small_datasets/diagonal_001.csv,small_datasets/diagonal_023.csv,96046,1852449,1.163076347,96046,1948495,0.74858862,-0.051848121054885
small_datasets/diagonal_001.csv,small_datasets/diagonal_024.csv,44812,1515330,1.152495915,44812,1560140,0.751463015,-0.029571116522474
small_datasets/diagonal_001.csv,small_datasets/diagonal_025.csv,70392,1259565,0.988799112,70393,1329958,0.699694569,-0.055886754554152
small_datasets/diagonal_001.csv,small_datasets/diagonal_026.csv,49853,984795,4.721416423,49853,1034648,0.614629004,-0.050622718433786
small_datasets/diagonal_001.csv,small_datasets/diagonal_027.csv,80154,1818268,1.01450932,80154,1898422,0.831066179,-0.044082610484263
small_datasets/diagonal_001.csv,small_datasets/diagonal_028.csv,66507,1790215,4.896694336,66507,1856722,0.725136862,-0.037150286418112
small_datasets/diagonal_029.csv,small_datasets/diagonal_001.csv,109545,1819508,1.034542135,109545,1929051,0.796516055,-0.060204736665077
small_datasets/diagonal_001.csv,small_datasets/diagonal_030.csv,82892,1504152,4.554639552,82892,1587044,0.674197293,-0.055108792196534
small_datasets/diagonal_001.csv,small_datasets/diagonal_031.csv,35050,818035,0.680806986,35050,853085,0.616395503,-0.042846577469179
small_datasets/diagonal_001.csv,small_datasets/diagonal_032.csv,62663,2009804,0.906097926,62663,2072467,0.752868969,-0.031178662197906
small_datasets/diagonal_033.csv,small_datasets/diagonal_001.csv,70719,1816243,0.932574099,70719,1886962,0.943989561,-0.038936970438427
small_datasets/diagonal_001.csv,small_datasets/diagonal_034.csv,81226,1326623,0.796036142,81226,1407849,0.756795966,-0.061227643422434
small_datasets/diagonal_035.csv,small_datasets/diagonal_001.csv,93919,1659791,0.906876179,93919,1753707,0.825641673,-0.056583027622152
small_datasets/diagonal_036.csv,small_datasets/diagonal_001.csv,98825,2526782,0.922129706,98825,2625606,0.981066878,-0.03911061579511
small_datasets/diagonal_001.csv,small_datasets/diagonal_037.csv,20495,716989,4.659130996,20495,737484,0.571257731,-0.028584817898183
small_datasets/diagonal_038.csv,small_datasets/diagonal_001.csv,129912,1972062,1.04012696,129912,2101973,0.819094056,-0.065875717903393
small_datasets/diagonal_001.csv,small_datasets/diagonal_039.csv,63903,1793075,4.65511208,63903,1856976,0.769669732,-0.035637661559054
small_datasets/diagonal_001.csv,small_datasets/diagonal_040.csv,78159,1721454,0.885068617,78159,1799613,0.707604428,-0.045402897782921
small_datasets/gaussian_001.csv,small_datasets/diagonal_001.csv,16272,1912882,0.88770321,16272,1925097,0.916232545,-0.006385652643498
small_datasets/diagonal_001.csv,small_datasets/gaussian_002.csv,15176,1699321,0.910709317,15176,1707519,0.66235695,-0.004824279815291
small_datasets/gaussian_003.csv,small_datasets/diagonal_001.csv,16332,2135498,1.013554697,16332,2150269,0.791819095,-0.00691688777044
