label,coll1,D1,coll2,D2,E0_1,E0_2,E2_1,E2_2,Size1,Size2,Card1,Card2,AvgArea1,AvgArea2,AvglenX1,AvglenX2,AvglenY1,AvglenY2,AreaInt1,AreaInt2,sim,join_sel
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_001,Large AWS,DiagonalRot_002,0.9295,0.9505,0.574,0.685,0.08533333,0.14222222,0.05658947,0.09431579,0.02328571,0.35714286,0.09259259,0.92592593,0.1625,0.25,0.75137846,0.79297724,0.62815748,4.60E-06
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_001,Large AWS,DiagonalRot_003,0.9295,0.9115,0.574,0.538,0.08533333,0.15644444,0.05658947,0.10374737,0.02328571,0.00045,0.09259259,0.03333333,0.1625,0.00875,0.39070088,0.31031449,0.20911578,1.19E-07
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_001,Large AWS,DiagonalRot_004,0.9295,0.9465,0.574,0.602,0.08533333,0.128,0.05658947,0.08488421,0.02328571,0.21428571,0.09259259,0.37037037,0.1625,0.375,0.73659026,0.79305295,0.61783439,2.71E-06
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_001,Large AWS,DiagonalRot_enx_002,0.9295,0.9375,0.574,0.622,0.08533333,0.19911111,0.05658947,0.13204211,0.02328571,0.0095,0.09259259,0.35185185,0.1625,0.0175,0.91480249,0.93924162,0.86369144,8.70E-07
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_001,Large AWS,Diagonal_002,0.9295,0.92,0.574,0.601,0.08533333,0.128,0.05658947,0.08488421,0.02328571,0.00014286,0.09259259,0.01851852,0.1625,0.005,0.73173132,0.4907468,0.41591585,2.01E-07
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_001,Large AWS,Diagonal_enx_001,0.9295,0.896,0.574,0.6445,0.08533333,0.14222222,0.05658947,0.09431579,0.02328571,0.00228571,0.09259259,0.2962963,0.1625,0.005,0.73173135,0.49037894,0.41565159,7.14E-07
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_001,Large AWS,Diagonal_enx_002,0.9295,0.9505,0.574,0.6365,0.08533333,0.15644444,0.05658947,0.10374737,0.02328571,0.02,0.09259259,0.74074074,0.1625,0.0175,0.73176796,0.48979168,0.4152414,1.63E-06
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_001,Large AWS,Diagonal_enx_003,0.9295,0.955,0.574,0.6195,0.08533333,0.09955556,0.05658947,0.06602105,0.02328571,0.17142857,0.09259259,0.74074074,0.1625,0.15,0.73215555,0.48979173,0.41536621,2.85E-06
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_001,Large AWS,Diagonal_eny_001,0.9295,0.936,0.574,0.585,0.08533333,0.19911111,0.05658947,0.13204211,0.02328571,0.00685714,0.09259259,0.02222222,0.1625,0.2,0.73230212,0.49074185,0.41609664,4.47E-07
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_001,Large AWS,Diagonal_eny_003,0.9295,0.9065,0.574,0.6365,0.08533333,0.11377778,0.05658947,0.07545263,0.02328571,0.05714286,0.09259259,0.03703704,0.1625,1,0.73464359,0.49072221,0.41683738,1.64E-06
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_001,Large AWS,Gauss_eny_002,0.9295,0.91,0.574,0.923,0.08533333,0.11377778,0.05658947,0.07545263,0.02328571,0.02785714,0.09259259,0.04814815,0.1625,0.375,0.64326906,0.43804586,0.35243217,1.43E-06
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_001,Large AWS,Gauss_eny_003,0.9295,0.9265,0.574,0.9225,0.08533333,0.17066667,0.05658947,0.11317895,0.02328571,0.00482857,0.09259259,0.01666667,0.1625,0.1875,0.60996348,0.41138372,0.325705,3.35E-08
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_002,Large AWS,Gauss_eny_003,0.9505,0.9265,0.685,0.9225,0.14222222,0.17066667,0.09431579,0.11317895,0.35714286,0.00482857,0.92592593,0.01666667,0.25,0.1875,0.40304081,0.25756706,0.18644117,8.29E-06
AWS_NoUniform_NoMatch,Large AWS,DiagonalRot_enx_001,Large AWS,Gauss_eny_003,0.8835,0.9265,0.617,0.9225,0.09955556,0.17066667,0.06602105,0.11317895,0.0045,0.00482857,0.25925926,0.01666667,0.01125,0.1875,0.20074062,0.19033987,0.10828004,2.69E-09
